fileName,nameZh,finalHeCode
丹凤牡丹圆框汉绣：HE-N-B-B03.png,丹凤牡丹圆框汉绣,HE-N-B-B03
凤鸣楚天群凤汉绣：HE-N-S-M01.png,凤鸣楚天群凤汉绣,HE-N-S-M01
古黄鹤楼彩凤群鹤竖幅汉绣：HE-N-S-M04.jpg,古黄鹤楼彩凤群鹤竖幅汉绣,HE-N-S-M04
古黄鹤楼群鹤汉绣：HE-H-S-R02.jpg,古黄鹤楼群鹤汉绣,HE-H-S-R02
圆形框黄鹤楼山水汉绣：HE-H-S-A02.png,圆形框黄鹤楼山水汉绣,HE-H-S-A02
松鹤延年圆框汉绣：HE-N-B-M05.png,松鹤延年圆框汉绣,HE-N-B-M05
橄榄绿底双鹤红日圆台屏绣片：HE-N-B-B14.jpg,橄榄绿底双鹤红日圆台屏绣片,HE-N-B-B14
湖绿底国色天香牡丹蝴蝶绣片：HE-N-B-B13.jpg,湖绿底国色天香牡丹蝴蝶绣片,HE-N-B-B13
湘莲闹三棒鼓舞民俗汉绣：HE-H-B-M02.jpg,湘莲闹三棒鼓舞民俗汉绣,HE-H-B-M02
牡丹八宝吉祥纹汉绣：HE-N-B-M06.jpg,牡丹八宝吉祥纹汉绣,HE-N-B-M06
福寿瓜果彩蝶黑底汉绣：HE-N-B-B05.jpg,福寿瓜果彩蝶黑底汉绣,HE-N-B-B05
粉荷蜜蜂白地汉绣：HE-N-L-B01.jpg,粉荷蜜蜂白地汉绣,HE-N-L-B01
蓝调百花蝴蝶竖幅汉绣：HE-N-B-B06.jpg,蓝调百花蝴蝶竖幅汉绣,HE-N-B-B06
蝶仙游鱼红底汉绣：HE-H-B-R03.png,蝶仙游鱼红底汉绣,HE-H-B-R03
西十七座降龙尊者汉绣：HE-H-S-R01.png,西十七座降龙尊者汉绣,HE-H-S-R01
金线黄鹤楼云鹤圆绣汉绣：HE-H-S-A03.png,金线黄鹤楼云鹤圆绣汉绣,HE-H-S-A03
鸳鸯荷花繁花汉绣HE-N-B-M04.png,鸳鸯荷花繁花汉绣,HE-N-B-M04
麻姑献寿寿星红底汉绣：HE-H-B-R02.png,麻姑献寿寿星红底汉绣,HE-H-B-R02
黑底满铺楚凤云水大幅壁挂汉绣：HE-H-S-B15.jpg,黑底满铺楚凤云水大幅壁挂汉绣,HE-H-S-B15
黑底盘金楚白虎圆绣片：HE-H-L-A14.jpg,黑底盘金楚白虎圆绣片,HE-H-L-A14
